-13724250	4598250	0	0
-13723000	4598250	0	0
-13721750	4598250	0	0
-13720500	4598250	0	0
-13719250	4598250	0	0
-13718000	4598250	0	0
-13716750	4598250	0	0
-13715500	4598250	0	0
-13714250	4598250	0	0
-13713000	4598250	0	0
-13711750	4598250	0	0
-13710500	4598250	0	0
-13709250	4598250	0	0
-13708000	4598250	0	0
-13706750	4598250	0	0
-13705500	4598250	0	0
-13704250	4598250	0	0
-13703000	4598250	0	0
-13701750	4598250	0	0
-13700500	4598250	0	0
-13699250	4598250	0	0
-13698000	4598250	0	0
-13696750	4598250	0	0
-13695500	4598250	0	0
-13694250	4598250	0	0
-13693000	4598250	0	0
-13691750	4598250	0	0
-13690500	4598250	0	0
-13689250	4598250	0	0
-13688000	4598250	0	0
-13686750	4598250	0	0
-13685500	4598250	0	0
-13684250	4598250	0	0
-13683000	4598250	0	0
-13681750	4598250	0	0
-13680500	4598250	0	0
-13679250	4598250	0	0
-13678000	4598250	0	0
-13676750	4598250	0	0
-13675500	4598250	0	0
-13674250	4598250	0	0
-13673000	4598250	0	0
-13671750	4598250	0	0
-13670500	4598250	0	0
-13669250	4598250	0	0
-13668000	4598250	0	0
-13666750	4598250	0	0
-13665500	4598250	0	0
-13664250	4598250	0	0
-13663000	4598250	0	0
-13661750	4598250	0	0
-13660500	4598250	0	0
-13659250	4598250	0	0
-13658000	4598250	0	0
-13656750	4598250	0	0
-13655500	4598250	0	0
-13654250	4598250	0	0
-13653000	4598250	0	0
-13651750	4598250	0	0
-13650500	4598250	0	0
-13649250	4598250	0	0
-13648000	4598250	0	0
-13646750	4598250	0	0
-13645500	4598250	0	0
-13644250	4598250	0	0
-13643000	4598250	0	0
-13641750	4598250	0	0
-13640500	4598250	0	0
-13639250	4598250	0	0
-13638000	4598250	0	0
-13636750	4598250	0	0
-13635500	4598250	0	0
-13634250	4598250	0	0
-13633000	4598250	0	0
-13631750	4598250	0	0
-13630500	4598250	0	0
-13629250	4598250	0	0
